DATE,SLUEM1524ZSIND
1991-01-01,11.792
1992-01-01,11.813
1993-01-01,11.835
1994-01-01,11.845
1995-01-01,12.132
1996-01-01,12.418
1997-01-01,12.713
1998-01-01,13.007
1999-01-01,13.297
2000-01-01,13.589
2001-01-01,13.869
2002-01-01,14.157
2003-01-01,14.431
2004-01-01,14.709
2005-01-01,14.991
2006-01-01,15.734
2007-01-01,16.494
2008-01-01,17.285
2009-01-01,18.093
2010-01-01,18.927
2011-01-01,19.752
2012-01-01,20.617
2013-01-01,21.42
2014-01-01,22.239
2015-01-01,23.086
2016-01-01,23.984
2017-01-01,24.934
2018-01-01,25.939
2019-01-01,22.854
2020-01-01,24.587
2021-01-01,20.871
2022-01-01,17.826
2023-01-01,17.972
